[2025-08-04 14:11:10] [main] DEBUG org.testng.TestNG - suiteXmlPath: "D:\Eclipse Workspace\Parabank\xml\master.xml"
[2025-08-04 14:11:16] [main] INFO  testCases.TC001_accountRegistration - Click Register link
[2025-08-04 14:11:17] [main] INFO  testCases.TC001_accountRegistration - Fill user info
[2025-08-04 14:11:17] [main] INFO  testCases.TC001_accountRegistration - Click Register button
[2025-08-04 14:11:17] [main] INFO  testCases.TC001_accountRegistration - Validate successful registration
[2025-08-04 14:11:17] [main] INFO  testCases.TC001_accountRegistration - Send newly created account to config.properties
[2025-08-04 14:11:21] [main] INFO  testCases.TC003_login - Fill username & passowrd
[2025-08-04 14:11:24] [main] INFO  testCases.TC003_login - Click login button
[2025-08-04 14:11:24] [main] INFO  testCases.TC003_login - Validate Login successful
[2025-08-04 14:11:27] [main] INFO  testCases.TC004_billPayment - Login process
[2025-08-04 14:11:30] [main] INFO  testCases.TC004_billPayment - click Bill Pay
[2025-08-04 14:11:30] [main] INFO  testCases.TC004_billPayment - Fill payment info
[2025-08-04 14:11:31] [main] INFO  testCases.TC004_billPayment - Click Send Payment button
[2025-08-04 14:11:31] [main] INFO  testCases.TC004_billPayment - Validating payment
